riskygain, riskyloss, certainalternative, choice, outcome, trial, block, triBlock, subjID
12,-6,0,1,-6,1,1,1, 020
5,-1.25,0,1,-1.25,2,1,2, 020
5,-0.5,0,1,5,3,1,3, 020
5,-1.79,0, NaN, NaN,4,1,4, 020
5,-5,0,1,-5,5,1,5, 020
7,-2.8,0,1,-2.8,6,1,6, 020
7.04,0,4.48,0,4.48,7,1,7, 020
7.87,0,4.07,0,4.07,8,1,8, 020
10,-6.67,0, NaN, NaN,9,1,9, 020
7,-1,0,1,-1,10,1,10, 020
24.26,0,11.87,0,11.87,11,1,11, 020
10,0,-1,1,10,12,1,12, 020
12,-3.53,0,1,12,13,1,13, 020
32,0,0,1,0,14,1,14, 020
5,-2.5,0,1,5,15,1,15, 020
8.03,0,3.99,1,8.03,16,1,16, 020
15.95,0,8.03, NaN, NaN,17,1,17, 020
5,-2.78,0,1,5,18,1,18, 020
2,-0.65,0,1,2,19,1,19, 020
8,-3.33,0,1,8,20,1,20, 020
5,-7.14,0,1,-7.14,21,1,21, 020
25.47,0,11.27,1,25.47,22,1,22, 020
10,-4.76,0,1,-4.76,23,1,23, 020
8.21,0,3.9,1,8.21,24,1,24, 020
12,-10,0,1,12,25,1,25, 020
15.15,0,8.42,1,0,26,1,26, 020
5.34,0,5.34,1,5.34,27,1,27, 020
10,-5.88,0, NaN, NaN,28,2,1, 020
10,-1.72,0,1,10,29,2,2, 020
10,-5.26,0,1,-5.26,30,2,3, 020
2,-1.05,0,1,-1.05,31,2,4, 020
5,-3.13,0, NaN, NaN,32,2,5, 020
7,-7.78,0,0,0,33,2,6, 020
17.13,0,7.43,1,17.13,34,2,7, 020
17.65,0,7.17,1,17.65,35,2,8, 020
8,0,8,1,0,36,2,9, 020
7,-1.21,0,1,7,37,2,10, 020
13.73,0,9.13,1,0,38,2,11, 020
7,-3.33,0, NaN, NaN,39,2,12, 020
12,-5.45,0,1,-5.45,40,2,13, 020
14.45,0,8.78,0,8.78,41,2,14, 020
2,-4,0,1,-4,42,2,15, 020
10,-3.23,0,1,10,43,2,16, 020
8,-11.43,0,1,8,44,2,17, 020
27.06,0,10.47,0,10.47,45,2,18, 020
22.4,0,4.8, NaN, NaN,46,2,19, 020
10,-9.09,0,1,10,47,2,20, 020
31.43,0,8.29,0,8.29,48,2,21, 020
12,-7.5,0,1,12,49,2,22, 020
8,-5,0,1,-5,50,2,23, 020
16,0,0,1,16,51,2,24, 020
16.68,0,7.66,0,7.66,52,2,25, 020
8,-0.8,0,1,-0.8,53,2,26, 020
7,-14,0, NaN, NaN,54,2,27, 020
8,-8,0,1,8,55,3,1, 020
10,-20,0,1,10,56,3,2, 020
5,-0.78,0,1,5,57,3,3, 020
12,-6.67,0,1,-6.67,58,3,4, 020
2,-1.82,0,1,2,59,3,5, 020
2,-0.29,0,1,-0.29,60,3,6, 020
12,-8.57,0,1,-8.57,61,3,7, 020
7,-5.38,0,1,-5.38,62,3,8, 020
21.39,0,13.31,0,13.31,63,3,9, 020
5,-3.57,0,1,-3.57,64,3,10, 020
5,0,9.5, NaN, NaN,65,3,11, 020
23.31,0,12.34,0,12.34,66,3,12, 020
5,-2.08,0,1,-2.08,67,3,13, 020
0,-8,0,0,0,68,3,14, 020
8,-2.86,0,1,8,69,3,15, 020
8,-1.25,0,1,8,70,3,16, 020
12,-2.31,0,1,-2.31,71,3,17, 020
8,-2.35,0, NaN, NaN,72,3,18, 020
7,-1.52,0,1,7,73,3,19, 020
5,-0.96,0,1,-0.96,74,3,20, 020
22.34,0,12.83,0,12.83,75,3,21, 020
2,-2.22,0,1,2,76,3,22, 020
12,-12,0,1,12,77,3,23, 020
15.64,0,8.18,0,8.18,78,3,24, 020
23.76,0,12.12, NaN, NaN,79,3,25, 020
8,-4.44,0,1,8,80,3,26, 020
2,-0.54,0,1,-0.54,81,3,27, 020
7.33,0,4.34, NaN, NaN,82,4,1, 020
8.92,0,3.54,0,3.54,83,4,2, 020
5,-2.27,0,1,5,84,4,3, 020
5,-4.17,0,1,-4.17,85,4,4, 020
2,-1.18,0,1,-1.18,86,4,5, 020
8,-2,0,1,8,87,4,6, 020
7,-6.36,0,1,7,88,4,7, 020
2,-0.34,0,1,2,89,4,8, 020
8,-6.67,0,1,8,90,4,9, 020
12,-1.2,0,1,12,91,4,10, 020
2,-1.33,0,1,-1.33,92,4,11, 020
26.2,0,10.9,0,10.9,93,4,12, 020
10,-1.43,0,1,-1.43,94,4,13, 020
8.65,0,3.68,0,3.68,95,4,14, 020
12,-17.14,0,1,12,96,4,15, 020
7,-4.12,0,1,-4.12,97,4,16, 020
7,-2.26,0,1,7,98,4,17, 020
10,-2.17,0,1,-2.17,99,4,18, 020
16.29,0,7.85,0,7.85,100,4,19, 020
7,-1.89,0,1,7,101,4,20, 020
10,-11.11,0,1,10,102,4,21, 020
2,-0.87,0,1,2,103,4,22, 020
18.83,0,6.59, NaN, NaN,104,4,23, 020
10,-4.35,0,1,10,105,4,24, 020
5,-1.47,0,1,-1.47,106,4,25, 020
7.73,0,4.14,0,4.14,107,4,26, 020
19.88,0,14.06,0,14.06,108,4,27, 020
9.89,0,3.05,0,3.05,109,5,1, 020
12,-1.88,0,1,12,110,5,2, 020
4.55,0,-3,1,4.55,111,5,3, 020
8,-5.71,0,1,-5.71,112,5,4, 020
13.35,0,1.32,0,1.32,113,5,5, 020
2,-0.43,0,1,2,114,5,6, 020
12,-3,0,1,-3,115,5,7, 020
24.82,0,11.59,0,11.59,116,5,8, 020
8,-4,0,1,-4,117,5,9, 020
3,0,6.5,0,6.5,118,5,10, 020
10,-7.69,0, NaN, NaN,119,5,11, 020
0,-3,0,0,0,120,5,12, 020
8.41,0,3.79,0,3.79,121,5,13, 020
2,-0.95,0,1,2,122,5,14, 020
7,-3.04,0,1,-3.04,123,5,15, 020
8,-1.54,0,1,8,124,5,16, 020
7,-4.67,0,1,7,125,5,17, 020
11,0,-4.25,1,11,126,5,18, 020
10,-2.7,0,1,10,127,5,19, 020
12,-4.29,0, NaN, NaN,128,5,20, 020
8,-3.64,0,1,-3.64,129,5,21, 020
7,-3.68,0,1,-3.68,130,5,22, 020
10,-4,0, NaN, NaN,131,5,23, 020
2,-0.8,0,0,0,132,5,24, 020
12,-5,0,1,-5,133,5,25, 020
2,-1.54,0,1,2,134,5,26, 020
24,0,0,1,0,135,5,27, 020
31.43,0,8.29,0,8.29,1,1,1, 026
8.41,0,3.79,1,8.41,2,1,2, 026
8,-2.35,0,0,0,3,1,3, 026
11,0,-4.25,1,11,4,1,4, 026
24.82,0,11.59,1,24.82,5,1,5, 026
10,-4,0,0,0,6,1,6, 026
8,-4,0,1,-4,7,1,7, 026
2,-4,0,0,0,8,1,8, 026
7,-4.12,0,1,7,9,1,9, 026
2,-1.18,0,0,0,10,1,10, 026
10,-4.76,0,0,0,11,1,11, 026
8,-5,0,1,-5,12,1,12, 026
23.31,0,12.34,1,23.31,13,1,13, 026
16.29,0,7.85,1,0,14,1,14, 026
12,-5,0,0,0,15,1,15, 026
8.92,0,3.54,1,8.92,16,1,16, 026
7.73,0,4.14,1,0,17,1,17, 026
7,-2.26,0,0,0,18,1,18, 026
10,-2.7,0,1,-2.7,19,1,19, 026
27.06,0,10.47,1,0,20,1,20, 026
16.68,0,7.66,1,0,21,1,21, 026
5,-0.5,0,0,0,22,1,22, 026
8,-0.8,0,0,0,23,1,23, 026
18.83,0,6.59,1,0,24,1,24, 026
10,-5.88,0,0,0,25,1,25, 026
7,-3.04,0,1,-3.04,26,1,26, 026
3,0,6.5,1,3,27,1,27, 026
5,-4.17,0,0,0,28,2,1, 026
2,-0.54,0,1,-0.54,29,2,2, 026
8,-2,0,0,0,30,2,3, 026
10,-6.67,0,1,10,31,2,4, 026
10,-4.35,0,1,10,32,2,5, 026
8,-2.86,0,0,0,33,2,6, 026
9.89,0,3.05,1,0,34,2,7, 026
7,-7.78,0,0,0,35,2,8, 026
12,-3,0,1,-3,36,2,9, 026
5.34,0,5.34,0,5.34,37,2,10, 026
12,-2.31,0,0,0,38,2,11, 026
10,-5.26,0,1,10,39,2,12, 026
12,-4.29,0,0,0,40,2,13, 026
5,-0.78,0,1,-0.78,41,2,14, 026
5,0,9.5,0,9.5,42,2,15, 026
2,-0.43,0,0,0,43,2,16, 026
8,-6.67,0,0,0,44,2,17, 026
5,-3.57,0,1,-3.57,45,2,18, 026
2,-2.22,0,1,2,46,2,19, 026
10,-9.09,0,1,10,47,2,20, 026
17.13,0,7.43,1,0,48,2,21, 026
4.55,0,-3,1,0,49,2,22, 026
12,-12,0,1,12,50,2,23, 026
2,-1.05,0,0,0,51,2,24, 026
12,-6.67,0,1,-6.67,52,2,25, 026
14.45,0,8.78,0,8.78,53,2,26, 026
2,-0.29,0,1,-0.29,54,2,27, 026
8.21,0,3.9,1,8.21,55,3,1, 026
8,-3.64,0,0,0,56,3,2, 026
7.33,0,4.34,1,7.33,57,3,3, 026
10,-2.17,0,1,10,58,3,4, 026
12,-17.14,0, NaN, NaN,59,3,5, 026
2,-0.8,0,1,-0.8,60,3,6, 026
8,-5.71,0,0,0,61,3,7, 026
0,-8,0,0,0,62,3,8, 026
12,-1.88,0,1,-1.88,63,3,9, 026
5,-7.14,0,1,5,64,3,10, 026
24,0,0,1,24,65,3,11, 026
10,-20,0,0,0,66,3,12, 026
5,-1.79,0,1,-1.79,67,3,13, 026
7,-3.68,0,1,7,68,3,14, 026
17.65,0,7.17,1,0,69,3,15, 026
32,0,0,1,32,70,3,16, 026
12,-3.53,0,1,-3.53,71,3,17, 026
7,-1.52,0,0,0,72,3,18, 026
7.04,0,4.48,0,4.48,73,3,19, 026
10,0,-1,1,0,74,3,20, 026
5,-2.5,0,0,0,75,3,21, 026
5,-1.25,0,0,0,76,3,22, 026
8,-4.44,0,0,0,77,3,23, 026
8,0,8,0,8,78,3,24, 026
19.88,0,14.06,0,14.06,79,3,25, 026
10,-1.72,0,1,10,80,3,26, 026
8,-1.54,0,1,8,81,3,27, 026
10,-7.69,0,0,0,82,4,1, 026
25.47,0,11.27,0,11.27,83,4,2, 026
10,-1.43,0,1,-1.43,84,4,3, 026
22.4,0,4.8,1,22.4,85,4,4, 026
12,-7.5,0,1,12,86,4,5, 026
16,0,0,1,0,87,4,6, 026
2,-1.82,0,0,0,88,4,7, 026
12,-10,0,0,0,89,4,8, 026
5,-0.96,0,1,5,90,4,9, 026
5,-1.47,0,1,5,91,4,10, 026
7,-1,0,0,0,92,4,11, 026
5,-2.08,0,1,-2.08,93,4,12, 026
2,-0.87,0,0,0,94,4,13, 026
7,-1.21,0,1,7,95,4,14, 026
2,-1.33,0,1,-1.33,96,4,15, 026
10,-3.23,0,1,-3.23,97,4,16, 026
15.15,0,8.42,1,15.15,98,4,17, 026
24.26,0,11.87,1,0,99,4,18, 026
7.87,0,4.07,1,7.87,100,4,19, 026
7,-4.67,0,0,0,101,4,20, 026
7,-3.33,0,1,-3.33,102,4,21, 026
15.95,0,8.03,1,0,103,4,22, 026
2,-1.54,0,0,0,104,4,23, 026
7,-2.8,0,1,7,105,4,24, 026
8.65,0,3.68,0,3.68,106,4,25, 026
8,-8,0,0,0,107,4,26, 026
15.64,0,8.18,1,15.64,108,4,27, 026
7,-6.36,0,0,0,109,5,1, 026
0,-3,0,0,0,110,5,2, 026
10,-11.11,0,1,-11.11,111,5,3, 026
5,-2.78,0,0,0,112,5,4, 026
5,-3.13,0,1,5,113,5,5, 026
13.73,0,9.13,1,13.73,114,5,6, 026
8,-11.43,0,0,0,115,5,7, 026
26.2,0,10.9,1,0,116,5,8, 026
8,-1.25,0,1,8,117,5,9, 026
7,-14,0,0,0,118,5,10, 026
2,-0.95,0,1,2,119,5,11, 026
2,-0.34,0,0,0,120,5,12, 026
12,-8.57,0,1,12,121,5,13, 026
23.76,0,12.12,1,23.76,122,5,14, 026
8.03,0,3.99,0,3.99,123,5,15, 026
12,-6,0,1,12,124,5,16, 026
12,-1.2,0,1,-1.2,125,5,17, 026
21.39,0,13.31, NaN, NaN,126,5,18, 026
5,-5,0,1,5,127,5,19, 026
5,-2.27,0,1,5,128,5,20, 026
7,-1.89,0,1,-1.89,129,5,21, 026
7,-5.38,0,1,-5.38,130,5,22, 026
8,-3.33,0,0,0,131,5,23, 026
2,-0.65,0,1,2,132,5,24, 026
13.35,0,1.32,1,0,133,5,25, 026
22.34,0,12.83,1,0,134,5,26, 026
12,-5.45,0,1,-5.45,135,5,27, 026
